workbook,index,net,estimated_delay_ns,cds2_fall_offset_ns,rms_error_ns,max_abs_error_ns,predicted_CDS1↓ to SW↑,predicted_CDS1↓ to SW↓,predicted_CDS2↓ to SW↑,predicted_CDS2↓ to SW↓,residual_CDS1↓ to SW↑,residual_CDS1↓ to SW↓,residual_CDS2↓ to SW↑,residual_CDS2↓ to SW↓
シリアル_48us_CLK1.xlsx,0,3.3V_DIG,49.68,0.0,0.02,0.02,-196.02,103.02,83.98,-96.98,-0.02,0.02,-0.02,0.02
シリアル_48us_CLK1.xlsx,1,R2.5V_AMP,38.7,0.0,2.92,5.0,-207.0,153.0,73.0,-47.0,2.0,2.0,1.0,-5.0
シリアル_48us_CLK1.xlsx,2,0.85V_PS,29.83,0.0,0.8,1.13,-215.87,-137.63,64.13,142.37,-0.87,-0.63,1.13,0.37
シリアル_48us_CLK1.xlsx,3,0.85V_PL,280.8,0.0,0.1,0.1,35.1,111.9,-164.9,-88.1,0.1,-0.1,0.1,-0.1
シリアル_48us_CLK1.xlsx,4,1.1V_DDRIO,30.8,0.0,0.1,0.1,-214.9,-114.1,65.1,165.9,0.1,-0.1,0.1,-0.1
シリアル_48us_CLK2.xlsx,0,3.3V_WLAN,31.9,0.0,0.0,0.0,89.0,-91.0,-111.0,189.0,0.0,0.0,0.0,0.0
シリアル_48us_CLK3.xlsx,0,4.3V_CHG,48.25,0.0,0.38,0.65,111.15,-193.65,-88.85,86.35,0.15,0.35,0.15,-0.65
シリアル_48us_CLK4.xlsx,0,1.8V_DIG,27.72,0.0,0.51,0.58,113.42,-202.42,-86.58,77.58,-0.58,-0.42,0.42,0.58
シリアル_48us_CLK5.xlsx,0,5.5V_CHG,176.2,0.0,0.5,0.5,-109.5,238.5,170.5,38.5,0.5,0.5,-0.5,-0.5
シリアル_48us_CLK5.xlsx,1,D5V_1,135.76,0.0,0.06,0.06,-149.94,236.94,130.06,36.94,0.06,-0.06,0.06,-0.06
シリアル_48us_CLK5.xlsx,2,D5V_2,140.7,0.0,0.0,0.0,-145.0,239.0,135.0,39.0,0.0,0.0,0.0,0.0
シリアル_48us_CLK5.xlsx,3,D5V_3,147.01,0.0,0.4,0.69,-138.69,236.19,141.31,36.19,0.31,0.19,-0.69,0.19
シリアル_48us_CLK5.xlsx,4,A6V,188.76,0.0,1.0,1.06,-96.94,-238.06,183.06,41.94,-0.94,-1.06,1.06,0.94
シリアル_48us_CLK5.xlsx,5,A3V,58.68,0.0,1.0,1.02,-227.02,144.02,52.98,-55.98,-1.02,-0.98,0.98,1.02
シリアル_48us_CLK5.xlsx,6,M15V,448.12,0.0,0.82,1.42,162.42,-177.42,-37.58,102.58,-0.58,-0.42,1.42,-0.42
シリアル_48us_CLK5.xlsx,7,A20V,306.8,0.0,3.63,5.9,21.1,121.9,-178.9,-78.1,-2.9,-3.1,0.1,5.9
