workbook,index,net,edge,measured_ns,calculated_ns,raw_diff_calc_minus_measured_ns,wrapped_diff_calc_minus_measured_ns
静止画_60us_CLK1.xlsx,0,3.3V_DIG,CDS1↓ to SW↑,-189,-190.32,-1.32,-1.32
静止画_60us_CLK1.xlsx,0,3.3V_DIG,CDS1↓ to SW↓,109,108.72,-0.28,-0.28
静止画_60us_CLK1.xlsx,0,3.3V_DIG,CDS2↓ to SW↑,-109,-110.32,-1.32,-1.32
静止画_60us_CLK1.xlsx,0,3.3V_DIG,CDS2↓ to SW↓,190,188.72,-1.28,-1.28
静止画_60us_CLK1.xlsx,1,R2.5V_AMP,CDS1↓ to SW↑,-202,-201.3,0.7,0.7
静止画_60us_CLK1.xlsx,1,R2.5V_AMP,CDS1↓ to SW↓,160,158.7,-1.3,-1.3
静止画_60us_CLK1.xlsx,1,R2.5V_AMP,CDS2↓ to SW↑,-122,-121.3,0.7,0.7
静止画_60us_CLK1.xlsx,1,R2.5V_AMP,CDS2↓ to SW↓,-236,238.7,474.7,-5.3
静止画_60us_CLK1.xlsx,2,0.85V_PS,CDS1↓ to SW↑,-211,-210.17,0.83,0.83
静止画_60us_CLK1.xlsx,2,0.85V_PS,CDS1↓ to SW↓,-82,-131.93,-49.93,-49.93
静止画_60us_CLK1.xlsx,2,0.85V_PS,CDS2↓ to SW↑,-130,-130.17,-0.17,-0.17
静止画_60us_CLK1.xlsx,2,0.85V_PS,CDS2↓ to SW↓,-57,-51.93,5.07,5.07
静止画_60us_CLK1.xlsx,3,0.85V_PL,CDS1↓ to SW↑,42,40.8,-1.2,-1.2
静止画_60us_CLK1.xlsx,3,0.85V_PL,CDS1↓ to SW↓,119,117.6,-1.4,-1.4
静止画_60us_CLK1.xlsx,3,0.85V_PL,CDS2↓ to SW↑,122,120.8,-1.2,-1.2
静止画_60us_CLK1.xlsx,3,0.85V_PL,CDS2↓ to SW↓,198,197.6,-0.4,-0.4
静止画_60us_CLK1.xlsx,4,1.1V_DDRIO,CDS1↓ to SW↑,-211,-209.2,1.8,1.8
静止画_60us_CLK1.xlsx,4,1.1V_DDRIO,CDS1↓ to SW↓,-113,-108.4,4.6,4.6
静止画_60us_CLK1.xlsx,4,1.1V_DDRIO,CDS2↓ to SW↑,-131,-129.2,1.8,1.8
静止画_60us_CLK1.xlsx,4,1.1V_DDRIO,CDS2↓ to SW↓,-32,-28.4,3.6,3.6
静止画_60us_CLK2.xlsx,0,3.3V_WLAN,CDS1↓ to SW↑,-192,-191.0,1.0,1.0
静止画_60us_CLK2.xlsx,0,3.3V_WLAN,CDS1↓ to SW↓,107,109.0,2.0,2.0
静止画_60us_CLK2.xlsx,0,3.3V_WLAN,CDS2↓ to SW↑,-112,-111.0,1.0,1.0
静止画_60us_CLK2.xlsx,0,3.3V_WLAN,CDS2↓ to SW↓,186,189.0,3.0,3.0
静止画_60us_CLK3.xlsx,0,4.3V_CHG,CDS1↓ to SW↑,-128,-128.85,-0.85,-0.85
静止画_60us_CLK3.xlsx,0,4.3V_CHG,CDS1↓ to SW↓,47,46.35,-0.65,-0.65
静止画_60us_CLK3.xlsx,0,4.3V_CHG,CDS2↓ to SW↑,-51,-48.85,2.15,2.15
静止画_60us_CLK3.xlsx,0,4.3V_CHG,CDS2↓ to SW↓,124,126.35,2.35,2.35
静止画_60us_CLK4.xlsx,0,1.8V_DIG,CDS1↓ to SW↑,-212,-212.28,-0.28,-0.28
静止画_60us_CLK4.xlsx,0,1.8V_DIG,CDS1↓ to SW↓,-47,-48.12,-1.12,-1.12
静止画_60us_CLK4.xlsx,0,1.8V_DIG,CDS2↓ to SW↑,-131,-132.28,-1.28,-1.28
静止画_60us_CLK4.xlsx,0,1.8V_DIG,CDS2↓ to SW↓,29,31.88,2.88,2.88
静止画_60us_CLK5.xlsx,0,5.5V_CHG,CDS1↓ to SW↑,90,90.5,0.5,0.5
静止画_60us_CLK5.xlsx,0,5.5V_CHG,CDS1↓ to SW↓,-42,-41.5,0.5,0.5
静止画_60us_CLK5.xlsx,0,5.5V_CHG,CDS2↓ to SW↑,170,170.5,0.5,0.5
静止画_60us_CLK5.xlsx,0,5.5V_CHG,CDS2↓ to SW↓,38,38.5,0.5,0.5
静止画_60us_CLK5.xlsx,1,D5V_1,CDS1↓ to SW↑,50,50.06,0.06,0.06
静止画_60us_CLK5.xlsx,1,D5V_1,CDS1↓ to SW↓,-43,-43.06,-0.06,-0.06
静止画_60us_CLK5.xlsx,1,D5V_1,CDS2↓ to SW↑,131,130.06,-0.94,-0.94
静止画_60us_CLK5.xlsx,1,D5V_1,CDS2↓ to SW↓,37,36.94,-0.06,-0.06
静止画_60us_CLK5.xlsx,2,D5V_2,CDS1↓ to SW↑,55,55.0,0.0,0.0
静止画_60us_CLK5.xlsx,2,D5V_2,CDS1↓ to SW↓,-41,-41.0,0.0,0.0
静止画_60us_CLK5.xlsx,2,D5V_2,CDS2↓ to SW↑,135,135.0,0.0,0.0
静止画_60us_CLK5.xlsx,2,D5V_2,CDS2↓ to SW↓,39,39.0,0.0,0.0
静止画_60us_CLK5.xlsx,3,D5V_3,CDS1↓ to SW↑,61,61.31,0.31,0.31
静止画_60us_CLK5.xlsx,3,D5V_3,CDS1↓ to SW↓,-44,-43.81,0.19,0.19
静止画_60us_CLK5.xlsx,3,D5V_3,CDS2↓ to SW↑,142,141.31,-0.69,-0.69
静止画_60us_CLK5.xlsx,3,D5V_3,CDS2↓ to SW↓,36,36.19,0.19,0.19
静止画_60us_CLK5.xlsx,4,A6V,CDS1↓ to SW↑,103,103.06,0.06,0.06
静止画_60us_CLK5.xlsx,4,A6V,CDS1↓ to SW↓,-37,-38.06,-1.06,-1.06
静止画_60us_CLK5.xlsx,4,A6V,CDS2↓ to SW↑,183,183.06,0.06,0.06
静止画_60us_CLK5.xlsx,4,A6V,CDS2↓ to SW↓,43,41.94,-1.06,-1.06
静止画_60us_CLK5.xlsx,5,A3V,CDS1↓ to SW↑,-26,-27.02,-1.02,-1.02
静止画_60us_CLK5.xlsx,5,A3V,CDS1↓ to SW↓,-136,-135.98,0.02,0.02
静止画_60us_CLK5.xlsx,5,A3V,CDS2↓ to SW↑,53,52.98,-0.02,-0.02
静止画_60us_CLK5.xlsx,5,A3V,CDS2↓ to SW↓,-55,-55.98,-0.98,-0.98
静止画_60us_CLK5.xlsx,6,M15V,CDS1↓ to SW↑,-118,-117.58,0.42,0.42
静止画_60us_CLK5.xlsx,6,M15V,CDS1↓ to SW↓,21,22.58,1.58,1.58
静止画_60us_CLK5.xlsx,6,M15V,CDS2↓ to SW↑,-40,-37.58,2.42,2.42
静止画_60us_CLK5.xlsx,6,M15V,CDS2↓ to SW↓,100,102.58,2.58,2.58
静止画_60us_CLK5.xlsx,7,A20V,CDS1↓ to SW↑,221,221.1,0.1,0.1
静止画_60us_CLK5.xlsx,7,A20V,CDS1↓ to SW↓,-161,-158.1,2.9,2.9
静止画_60us_CLK5.xlsx,7,A20V,CDS2↓ to SW↑,-180,-178.9,1.1,1.1
静止画_60us_CLK5.xlsx,7,A20V,CDS2↓ to SW↓,-83,-78.1,4.9,4.9
