mode,clock,workbook,power_net,timing,delay_ns,measured_margin_ns,simulated_margin_ns,diff_sim_minus_measured_ns,wrapped_diff_sim_minus_measured_ns
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,3.3V_DIG,CDS1↓ to SW↑,44.0,-196,-201.7,-5.7,-5.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,3.3V_DIG,CDS1↓ to SW↓,44.0,103,97.34,-5.66,-5.66
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,3.3V_DIG,CDS2↓ to SW↑,44.0,84,78.3,-5.7,-5.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,3.3V_DIG,CDS2↓ to SW↓,44.0,-97,-102.66,-5.66,-5.66
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,R2.5V_AMP,CDS1↓ to SW↑,30.0,-209,-215.7,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,R2.5V_AMP,CDS1↓ to SW↓,30.0,151,144.3,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,R2.5V_AMP,CDS2↓ to SW↑,30.0,72,64.3,-7.7,-7.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,R2.5V_AMP,CDS2↓ to SW↓,30.0,-42,-55.7,-13.7,-13.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PS,CDS1↓ to SW↑,24.0,-215,-221.7,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PS,CDS1↓ to SW↓,24.0,-137,-143.46,-6.46,-6.46
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PS,CDS2↓ to SW↑,24.0,63,58.3,-4.7,-4.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PS,CDS2↓ to SW↓,24.0,142,136.54,-5.46,-5.46
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PL,CDS1↓ to SW↑,274.0,35,28.3,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PL,CDS1↓ to SW↓,274.0,112,105.1,-6.9,-6.9
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PL,CDS2↓ to SW↑,274.0,-165,-171.7,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,0.85V_PL,CDS2↓ to SW↓,274.0,-88,-94.9,-6.9,-6.9
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,1.1V_DDRIO,CDS1↓ to SW↑,24.0,-215,-221.7,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,1.1V_DDRIO,CDS1↓ to SW↓,24.0,-114,-120.9,-6.9,-6.9
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,1.1V_DDRIO,CDS2↓ to SW↑,24.0,65,58.3,-6.7,-6.7
シリアル,PL_DCDC_CLK1,設定ファイル/シリアル_48us/シリアル_48us_CLK1.xlsx,1.1V_DDRIO,CDS2↓ to SW↓,24.0,166,159.1,-6.9,-6.9
シリアル,PL_DCDC_CLK2,設定ファイル/シリアル_48us/シリアル_48us_CLK2.xlsx,3.3V_WLAN,CDS1↓ to SW↑,24.0,89,81.1,-7.9,-7.9
シリアル,PL_DCDC_CLK2,設定ファイル/シリアル_48us/シリアル_48us_CLK2.xlsx,3.3V_WLAN,CDS1↓ to SW↓,24.0,-91,-98.9,-7.9,-7.9
