net,edge,measured_ns
3.3V_DIG,CDS1↓ to SW↑,-196
3.3V_DIG,CDS1↓ to SW↓,103
3.3V_DIG,CDS2↓ to SW↑,84
3.3V_DIG,CDS2↓ to SW↓,-97
R2.5V_AMP,CDS1↓ to SW↑,-209
R2.5V_AMP,CDS1↓ to SW↓,151
R2.5V_AMP,CDS2↓ to SW↑,72
R2.5V_AMP,CDS2↓ to SW↓,-42
0.85V_PS,CDS1↓ to SW↑,-215
0.85V_PS,CDS1↓ to SW↓,-137
0.85V_PS,CDS2↓ to SW↑,63
0.85V_PS,CDS2↓ to SW↓,142
0.85V_PL,CDS1↓ to SW↑,35
0.85V_PL,CDS1↓ to SW↓,112
0.85V_PL,CDS2↓ to SW↑,-165
0.85V_PL,CDS2↓ to SW↓,-88
1.1V_DDRIO,CDS1↓ to SW↑,-215
1.1V_DDRIO,CDS1↓ to SW↓,-114
1.1V_DDRIO,CDS2↓ to SW↑,65
1.1V_DDRIO,CDS2↓ to SW↓,166
3.3V_WLAN,CDS1↓ to SW↑,89
3.3V_WLAN,CDS1↓ to SW↓,-91
3.3V_WLAN,CDS2↓ to SW↑,-111
3.3V_WLAN,CDS2↓ to SW↓,189
4.3V_CHG,CDS1↓ to SW↑,111
4.3V_CHG,CDS1↓ to SW↓,-194
4.3V_CHG,CDS2↓ to SW↑,-89
4.3V_CHG,CDS2↓ to SW↓,87
1.8V_DIG,CDS1↓ to SW↑,114
1.8V_DIG,CDS1↓ to SW↓,-202
1.8V_DIG,CDS2↓ to SW↑,-87
1.8V_DIG,CDS2↓ to SW↓,77
5.5V_CHG,CDS1↓ to SW↑,-110
5.5V_CHG,CDS1↓ to SW↓,238
5.5V_CHG,CDS2↓ to SW↑,171
5.5V_CHG,CDS2↓ to SW↓,39
D5V_1,CDS1↓ to SW↑,-150
D5V_1,CDS1↓ to SW↓,237
D5V_1,CDS2↓ to SW↑,130
D5V_1,CDS2↓ to SW↓,37
D5V_2,CDS1↓ to SW↑,-145
D5V_2,CDS1↓ to SW↓,239
D5V_2,CDS2↓ to SW↑,135
D5V_2,CDS2↓ to SW↓,39
D5V_3,CDS1↓ to SW↑,-139
D5V_3,CDS1↓ to SW↓,236
D5V_3,CDS2↓ to SW↑,142
D5V_3,CDS2↓ to SW↓,36
A6V,CDS1↓ to SW↑,-96
A6V,CDS1↓ to SW↓,-237
A6V,CDS2↓ to SW↑,182
A6V,CDS2↓ to SW↓,41
A3V,CDS1↓ to SW↑,-226
A3V,CDS1↓ to SW↓,145
A3V,CDS2↓ to SW↑,52
A3V,CDS2↓ to SW↓,-57
M15V,CDS1↓ to SW↑,163
M15V,CDS1↓ to SW↓,-177
M15V,CDS2↓ to SW↑,-39
M15V,CDS2↓ to SW↓,103
A20V,CDS1↓ to SW↑,24
A20V,CDS1↓ to SW↓,125
A20V,CDS2↓ to SW↑,-179
A20V,CDS2↓ to SW↓,-84
